entry_id, crystal_growth_procedure
"2W1L","PLEASE SEE REFERENCE., pH 4.2"
"2W1M","PLEASE SEE REFERENCE PAPER., pH 4.2"
"2W1X","PLEASE REFER TO RESEARCH PAPER, pH 4.2"
"2W1Y","PLEASE REFER TO RESEARCH PAPER, pH 4.2"
"2WAR","PROTEIN AT 7MG ML-1 IN 10MM CHITOPENTAOSE 200MM NA ACETATE PH5 WAS MIXED WITH RESERVOIR OF 200MM NA ACETATE, 4% W/V NACL PH4.5"
"2X0A","HANGING DROP METHOD AT 295K. DROP IS 1 MICROL OF 50 MG/ML PROTEIN AND 1 MICROL OF WELL SOLUTION. WELL VOLUME IS 1ML OF 70 % MPD FROM HAMPTON RESEARCH."
"2XBR","75 MM SODIUM ACETATE PH 4.6, 1.0 M SODIUM CHLORIDE"
"2XBS","75 MM SODIUM ACETATE PH 4.6, 1.0 M SODIUM CHLORIDE"
"2XJW","2-10% (M/V) NACL, 0.1 M ACETATE BUFFER PH 4.5. HANGING AND SITTING DROPS"
"2XTH","10% SODIUM CHLORIDE W/V; PH 4.7 0.04M SODIUM ACETATE BUFFER; 80MG OF LYSOZYME PROTEIN 2ML AQUEOUS."
"2YBH","200 MM SODIUM ACETATE BUFFER PH 4.7, 10% W/V NACL."
"2YBI","200 MM SODIUM ACETATE BUFFER PH 4.7, 10% W/V NACL."
"2YBJ","200 MM SODIUM ACETATE PH 4.7, 10% W/V NACL."
"2YBL","200 MM SODIUM ACETATE PH 4.7, 10% W/V NACL."
"2YBM","200 MM SODIUM ACETATE PH 4.7, 10% W/V NACL"
"2YBN","200 MM SODIUM ACETATE BUFFER PH 4.7, 10% W/V NACL."
"2YDG","200 MM SODIUM ACETATE BUFFER AT PH 4.7 CONTAINING 10 % W/V NACL."
"2YSS","28-31% PEG MME 550, 0.01M zinc sulfate, 0.1M MES, pH 6.4, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K"
"2YVB","0.04N NaOAc/HOAc buffer, pH 4.7, VAPOR DIFFUSION, temperature 293K"
"2Z12","temperature-regulated nitragen gas, Dehydration induced phase transition, temperature 293K"
"2Z18","10% NaCl, temperature-regulated nitrogen gas, Dehydration induced phase transition, temperature 293K"
"2Z19","NaCl, nitrogen-gas, pH 7.6, Dehydration-induced phase transition, temperature 293K"
"2ZNW","30% PEG 400, 0.2M Na Citrate, 0.1M Tris, pH 8.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2ZNX","30% PEG400, 0.2M Na Citrate; 0.1M Tris, pH 8.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"2ZQ3","277K"
"2ZQ4","310K"
"2ZYP","0.1% PAA, 1.0M sodium chloride, 0.1M sodium acetate, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A34","pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A3Q","10% sodium chloride, 0.1M sodium acetate, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A3R","10% sodium chloride, 0.1M sodium acetate, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A67","PEG 6000, Hepes, glycerol, methyl-pentanediol, pH 7.6, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K"
"3A6B","PEG 6000, Hepes, glycerol, methyl-pentanediol, pH 7.6, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K"
"3A6C","PEG 6000, Hepes, glycerol, methyl-pentanediol, pH 7.6, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K"
"3A8Z","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A90","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A91","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A92","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A93","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A94","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A95","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3A96","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3AGG","0.05M Sodium Acetate, 1.6M Sodium Chloride, pH 4.5, VAPOR DIFFUSION, temperature 293K"
"3AGH","0.05M Sodium Acetate, 1.6M Sodium Chloride, 0.2M Arg, pH 4.5, VAPOR DIFFUSION, temperature 293K"
"3AGI","0.05 M Sodium Acetate 
1.6 M Sodium Chloride 
0.5 M Arg, pH 4.5, VAPOR DIFFUSION, temperature 293K"
"3AJN","0.05M sodium acetate, 1.0M glycine amide, pH 4.5, Batch, temperature 293K"
"3ATN","0.05M sodium acetate, 0.8M sodium chloride, pH 4.5, Batch, temperature 293K"
"3ATO","0.05M sodium acetate, 1.0M glycine ethyl ester, pH 4.5, Batch, temperature 293K"
"3AW6","3-8%(w/v) NaCl, 100mM Na acetate, pH 4.2, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3AW7","3-8%(w/v) NaCl, 100mM Na acetate, pH 4.2, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3AZ4","Sodium chloride, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 300K"
"3AZ5","sodium chloride, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 30K, temperature 303K"
"3AZ6","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3AZ7","Sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 100K, temperature 293K"
"3B6L","100mM sodium acetate buffer pH 4.6 and 2M sodium formate, VAPOR DIFFUSION, HANGING DROP, temperature 300K"
"3B72","50mM Tris pH8, 70% MPD and 6mM SDS, VAPOR DIFFUSION, HANGING DROP, temperature 300K"
"3D9A","0.2M di-Ammonium Citrate; 20% PEG 3350, pH 7, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"3E3D","0.1M HEPES, 15%(wt/wt) PEG 3350, 8mM sodium I3C(magic triangle) solution, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"3EMS","1.5M NaCl, 0.5M Arg, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"3EXD","100MM SODIUM CITRATE, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K"
"3F6Z","1.0M sodium citrate dehydrate, 0.1M HEPES (pH 7.5) , VAPOR DIFFUSION, HANGING DROP, temperature 287K"
"3G3A","2.0 M ammonium sulfate and 0.1 M sodium citrate, pH 5.6, EVAPORATION, temperature 296K"
"3G3B","8% (w/v) polyethylene glycol 8000, 0.1 M Tris-HCl, pH 8.5, EVAPORATION, temperature 296K"
"3HFM"
"3IJU","0.04N NaOAc/HOAc buffer, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3IJV","0.04N NaOAc/HOAc buffer, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3KAM","0.1 M MES, pH 5.5, 8% NaCl, 50 mg/mL protein, VAPOR DIFFUSION, HANGING DROP, temperature 292K"
"3LYM"
"3LYO","PROTEIN WAS CRYSTALLIZED FROM SODIUM ACETATE BUFFER (PH 4.3) CONTAINING 6.0% (W/V) SODIUM CHLORIDE"
"3LYT"
"3LYZ"
"3LZT","BATCH METHOD USED. 1% PROTEIN SOLUTION IN 100MM SODIUM ACETATE PH 4.5-4.6. SODIUM NITRATE ADDED TO A CONCENTRATION OF 20MGS/ML. CRYSTALS GROWN AT ROOM TEMPERATURE., batch method"
"3M18","15% (w/v) polyethylene glycol 2000 and 0.1 M Bis-Tris, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3M3U","0.1M Sodium Acetate, 7% NaCl, 25% Ethylene glycol, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 295K"
"3MBE","20% PEG4000, 0.2M K formate, 0.1M Na Cacodylate., pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 295K"
"3N9A","Crystals were obtained by counter diffusion in capillary tubes stuck into Vegemite., pH 4.5, LIQUID DIFFUSION, temperature 293K"
"3N9C","Crystals were obtained using counter diffusion using Marmite, pH 4.5, LIQUID DIFFUSION, temperature 293K"
"3N9E","Crystals were obtained by counter diffusion against Promite, pH 4.5, LIQUID DIFFUSION, temperature 293K"
"3OJP","NaCl, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K"
"3OK0","NaCl, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K"
"3OTP","65 mM citric acid, 35 mM Bis-Tris propane, 8% PEG3350, pH 3.6, VAPOR DIFFUSION, HANGING DROP, temperature 18K, temperature 291K"
"3P4Z","6.5% NaCl (w/v) in 0.1 M sodium acetate, pH 4.5, EVAPORATION, temperature 298K"
"3P64","6.5% NaCl (w/v) in 0.1 M sodium acetate, pH 4.5, EVAPORATION, temperature 298K"
"3P65","6.5% NaCl (w/v) in 0.1 M sodium acetate, pH 4.5, EVAPORATION, temperature 298K"
"3P66","6.5% NaCl (w/v) in 0.1 M sodium acetate, pH 4.5, EVAPORATION, temperature 298K"
"3P68","6.5% NaCl (w/v) in 0.1 M sodium acetate, pH 4.8, EVAPORATION, temperature 298K"
"3QE8","0.05M acetate buffer pH 4.54, 0.9M NaCl, temperature 298K, VAPOR DIFFUSION, HANGING DROP"
"3QNG","0.05M Acetate buffer, 0.9M NaCl, pH 4.54, temperature 298K, VAPOR DIFFUSION, HANGING DROP"
"3QY4","Crystals were grown through liquid-liquid diffusion using the Crystal Former from Microlytic, pH 4.6, microfluidic, temperature 298K"
"3RNX","40 mM sodium acetate, 150mM sodium chloride, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 277K"
"3RT5","40mM Sodium Acetate, 150mM Sodium chloride, 30% 2-propanol, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 277K"
"3RU5","5 mM silver(I) 3-hydroxybutyrate, 3% (w/v) sodium nitrate, 25% (v/v) ethylene glycol, pH 4.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"3RW8","40mM Sodium acetate, 150mM Sodium chloride, 40% Ethanol, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 277K"
"3RZ4","0.8M potassium sodium tartrate tetrahydrate, 0.1M HEPES sodium, pH 7.5, VAPOR DIFFUSION, HANGING DROP"
"3SP3","40 mM Sodium Acetate, 150mM Sodium Chloride, 20% Sucrose, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 277K"
"3T6U","40mM Sodium acetate, 150mM Sodium chloride, 40% Sucrose , pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 277K"
"3TMU","VAPOR DIFFUSION, HANGING DROP"
"3TMV"
"3TMW","VAPOR DIFFUSION, HANGING DROP"
"3TMX","VAPOR DIFFUSION, HANGING DROP"
"3TXB","49 mg HEWL + 3 mg cisplatin in 1 mL 0.04 M sodium acetate + 1 mL 10% sodium chloride, with glycerol as cryoprotectant, pH 4.7, BATCH, temperature 295K"
"3TXD","49 mg HEWL + 3.13 mg carboplatin in 1 mL 0.04 M sodium acetate + 1 mL 10% sodium chloride, with glycerol as cryoprotectant, pH 4.7, BATCH, temperature 295K"
"3TXE","49 mg HEWL + 3.7 mg carboplatin in 1 mL 0.04 M sodium acetate + 1 mL 10% sodium chloride, with paratone as cryoprotectant, pH 4.7, BATCH, temperature 295K"
"3TXF","49 mg HEWL + 3 mg cisplatin in 462.5 uL 0.04 M sodium acetate + 75 uL DMSO + 462.5 uL 10% sodium chloride, with glycerol as cryoprotectant, pH 4.7, BATCH, temperature 295K"
"3TXG","49 mg HEWL + 3 mg cisplatin in 462.5 uL 0.04 M sodium acetate + 75 uL DMSO + 462.5 uL 10% sodium chloride, with paratone as cryoprotectant, pH 4.7, BATCH, temperature 295K"
"3TXH","49 mg HEWL + 3.7 mg carboplatin in 462.5 uL 0.04 M sodium acetate + 75 uL DMSO + 462.5 uL 10% sodium chloride, with glycerol as cryoprotectant, pH 4.7, BATCH, temperature 295K"
"3TXI","49 mg HEWL + 3.7 mg carboplatin in 462.5 uL 0.04 M sodium acetate + 75 uL DMSO + 462.5 uL 10% sodium chloride, with paratone as cryoprotectant, pH 4.7, BATCH, temperature 295K"
"3TXJ","49 mg HEWL + 117 mg N-acetylglucosamine in 1 mL 0.04 M sodium acetate + 1 mL 10% sodium chloride, with silicone oil as cryoprotectant, pH 4.7, BATCH, temperature 295K"
"3TXK","20 mg HEWL + 1.1 mg cisplatin in 462.5 uL 0.04 M sodium acetate + 75 uL DMSO + 462.5 uL 10% sodium chloride, with paratone as cryoprotectant, pH 6.5, BATCH, temperature 277K"
"3ULR","1.0M Na Citrate, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 297K"
"3W6A","sodium chloride, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"3WL2","50mM Sodium Acetate pH4.7, 20% Ethylene glycol, 0.4M Sodium nitrate, VAPOR DIFFUSION, SITTING DROP, temperature 298K"
"3WMK","80mg/ml hen egg-white lysozyme, 100mM Sodium Acetate, 1M NaCl , pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 277K"
"3WPJ","25mg/ml Lysozyme, 0.05M SODIUM ACETATE, 0.7M SODIUM CHLORIDE, pH 4.5, BATCH METHOD, temperature 293K"
"3WPK","25mg/ml Lysozyme, 0.05M SODIUM ACETATE, 0.7M SODIUM CHLORIDE, pH 4.5, BATCH METHOD, temperature 293K"
"3WPL","25mg/ml Lysozyme, 0.05M SODIUM ACETATE, 0.7M SODIUM CHLORIDE, pH 4.5, BATCH METHOD, temperature 293K"
"3WU7","25mg/ml Lysozyme, 0.05M SODIUM ACETATE, 0.7M SODIUM CHLORIDE, pH 4.5, BATCH METHOD, temperature 293K"
"3WU8","25mg/ml Lysozyme, 0.05M SODIUM ACETATE, 0.7M SODIUM CHLORIDE, pH 4.5, BATCH METHOD, temperature 293K"
"3WU9","25mg/ml Lysozyme, 0.05M SODIUM ACETATE, 0.7M SODIUM CHLORIDE, pH 4.5, BATCH METHOD, temperature 293K"
"3WUA","25mg/ml Lysozyme, 0.05M SODIUM ACETATE, 0.7M SODIUM CHLORIDE, pH 4.5, BATCH METHOD, temperature 293K"
"3WUL","sodium chloride, PEG 6000, pH 3.0, batch, temperature 293K"
"3WUM","sodium chloride, PEG 6000, pH 3.0, batch, temperature 293K"
"3WUN","sodium chloride, PEG 6000, pH 3.0, batch, temperature 293K"
"3WVX","0.1M Sodium acetate buffer, 1.2M NaCl, pH 4.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"3WVY","0.1M Sodium acetate buffer, 1.2M NaCl, pH 4.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"3WW5","0.6M sodium chloride, pH 4.6, VAPOR DIFFUSION, SITTING DROP, temperature 293K"
"3WW6","0.6M sodium chloride, pH 4.6, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K"
"3WXT","sodium chloride, PEG 6000, pH 3.0, batch, temperature 293K"
"3WXU","sodium chloride, PEG 6000, pH 3.0, batch, temperature 293K"
"3ZEK","LYSOZYME WAS CRYSTALLIZED AT 293 K BY COUNTER-DIFFUSION IN A CHIPX MICROFLUIDIC DEVICE. MICROFLUIDIC CHANNELS WERE FILLED WITH A 50 MG/ML LYSOZYME SOLUTION CONTAINING 0.3% BETA-OCTYL-GLUCOSIDE (M/V) TO FACILITATE SAMPLE LOADING BY CAPILLARITY. CRYSTALLANT RESERVOIRS WERE FILLED WITH 1 M NACL CONTAINING 30% (M/V) PEG-3350 OR 2 M NACL, AND 0.1 M SODIUM ACETATE PH 4.5."
"3ZVQ","20MG/ML PROTEOLYZED LYSOZYME, 15%PEG3500, 25C"
"4A7D","0.1 M SODIUM ACETATE, 15% (W/V) SODIUM CHLORIDE, PH 4.6"
"4AGA","CHICKEN EGG WHITE LYSOZYME (FLUKA) HAS BEEN DISSOLVED IN 50 MM SODIUM ACETATE BUFFER PH 4.57 AND CRYSTALLIZED BY SITTING DROP DIFFUSION METHOD. EACH DROP CONTAINED 20 MG/ML OF LYSOZYME AND 5.5 PERCENT OF NACL IN 25 MM OF NA[AC] PH 4.57"
"4AXT"
"4B0D"
"4B1A","2-10% (M/V) NACL AND 0.1 M ACETATE BUFFER PH 4.5 (THE PROTEIN:WELL SOLUTION RATIO IN THE DROP WAS 1:1 WITH THE FINAL DROP VOLUME OF 4 MICROLITER USING A PROTEIN STOCK CONCENTRATION OF AROUND 50 MG/ML."
"4B49","CRYSTALLIZATION BY HANGING DROP AT 4C. CONDITIONS IN DROP: PROTEIN AT 35 MG/ML IN 200MM TRIS PH 8.0. CONDITIONS IN RESERVOIR: 200MM TRIS PH 8.0."
"4B4E","CRYSTALLIZATION BY HANGING DROP AT 4C. CONDITIONS IN DROP: PROTEIN AT 35 MG/ML IN 200MM TRIS (PH 8.0) AND 60% V/V (R)-MPD. CONDITIONS IN RESERVOIR: 200MM TRIS (PH 8.0)."
"4B4I","CRYSTALLIZATION BY HANGING DROP AT 4C. CONDITIONS IN DROP: PROTEIN AT 35 MG/ML IN 200MM TRIS (PH=8.0) AND 30% (V/V) (S)-MPD. CONDITIONS IN RESERVOIR: 200MM TRIS (PH=8.0) AND 60% (V/V) (S)-MPD."
"4B4J","CRYSTALLIZATION BY HANGING DROP AT 4C. CONDITIONS IN DROP: PROTEIN AT 35 MG/ML IN 200MM TRIS PH 8.0 AND 30% (V/V) (RS)-MPD. CONDITIONS IN RESERVOIR: 200MM TRIS PH 8.0 AND 60% (V/V) (RS)-MPD."
"4BAD","0.1 M SODIUM ACETATE PH 4.6, 0.4-1.5 M SODIUM CHLORIDE, 0.00025 M PROTEIN, 0.0027 M LANTHANIDE COMPLEX, 293 K, 3-7 DAYS"
"4BAF","0.1 M SODIUM ACETATE PH 4.6, 0.4-1.5 M SODIUM CHLORIDE, 0.00046 M PROTEIN, 0.001.4 M LANTHANIDE COMPLEX, 293 K, 3-7 DAYS"
"4BAP","0.1 M SODIUM ACETATE PH 4.6, 0.4-1.5 M SODIUM CHLORIDE, 0.00067 M PROTEIN, 0.012 M LANTHANIDE COMPLEX, 293 K, 3-7 DAYS"
"4BS7","LYSOZYME WAS CRYSTALLIZED AT 293 K BY COUNTER-DIFFUSION IN A CHIPX MICROFLUIDIC DEVICE. MICROFLUIDIC CHANNELS WERE FILLED WITH A 50 MG/ML LYSOZYME SOLUTION CONTAINING 0.3% BETA-OCTYL-GLUCOSIDE (M/V) TO FACILITATE SAMPLE LOADING BY CAPILLARITY. CRYSTALLANT RESERVOIRS WERE FILLED WITH 1.8 M NACL, 0.1 M SODIUM ACETATE PH 4.5 AND 0.05 M HPDO3A-YB."
"4C3W","4-8% (M/V) NACL IN 0.1 M ACETATE BUFFER PH 4.5. PROTEIN STOCK CONCENTRATION OF 50 MG/ML. HANGING DROP VAPOR DIFFUSION METHOD, 293K"
"4CJ2"
"4D9Z","50mM sodium acetate, 1-1.5M NaCl, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 318K"
"4DC4","50mM sodium acetate, 1-1.5M NaCl, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 318K"
"4DD0","HEWL co-crystallized with cisplatin in aqueous media, pH 4.7, BATCH, temperature 295K"
"4DD1","HEWL co-crystallized with cisplatin in 1 mL 0.05 M sodium acetate buffer and 1 mL 10% sodium chloride aqueous media, pH 4.7, BATCH, temperature 295K"
"4DD2","HEWL co-crystallized with carboplatin in 1 mL 0.05 M sodium acetate buffer and 1 mL 10% sodium chloride aqueous media, pH 4.7, BATCH, temperature 295K"
"4DD3","HEWL co-crystallized with carboplatin in 1 mL 0.05 M sodium acetate buffer and 1 mL 10% sodium chloride aqueous media, pH 4.7, BATCH, temperature 295K"
"4DD7","HEWL co-crystallized with carboplatin in 462.5 uL 0.05 M sodium acetate and 462.5 uL 10% sodium chloride in 75 uL DMSO, pH 4.7, BATCH, temperature 295K"
"4DD9","HEWL co-crystallized with carboplatin in 462.5 uL 0.05 M sodium acetate and 462.5 uL 10% sodium chloride in 75 uL DMSO, pH 4.7, BATCH, temperature 295K"
"4DDA","HEWL co-crystallized with 150 mM excess N-acetylglucosamine in 1 mL 0.05 M sodium acetate and 1 mL 10% sodium chloride, pH 4.7, BATCH, temperature 295K"
"4DDB","HEWL co-crystallized with cisplatin in 462.5 uL 0.05 M sodium acetate, pH 6.5, 462.5 uL 10% sodium chloride, and 75 uL DMSO, BATCH, temperature 277K"
"4DDC","HEWL co-crystallized with cisplatin and N-acetylglucosamine in 462.5 uL 0.05 M sodium acetate and 462.5 uL 10% sodium chloride in 75 uL DMSO, pH 4.7, BATCH, temperature 277K"
"4DT3","0.1M citric acid, 1M NaCl, pH 4.0, microbath, temperature 295K"
"4E3U","1.0M sodium chloride, 0.1M sodium acetate, pH 4.6, VAPOR DIFFUSION, SITTING DROP, temperature 296K"
"4EOF","Protein 40mg/ml, Sodium acetate 50mM, NaCl 1.7M, Arginine 200mM., pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 318K"
"4ET8","After crystallization, the solution used for growing the crystals (20 % NaCl, 6 % PEG 6000, 1 M Na acetate pH 3.0) was exchanged for storage solution (10 % NaCl, 1.0 M Na acetate pH 3.4), BATCH, temperature 293K"
"4ET9","After crystallization, the solution used for growing the crystals (20 % NaCl, 6 % PEG 6000, 1 M Na acetate pH 3.0) was exchanged for storage solution (10 % NaCl, 1.0 M Na acetate pH 3.4), BATCH, temperature 293K"
"4ETA","grown in Linbro plates in hanging or sitting drop geometry. Drops of equal volume of protein (20 mg/ml) and reservoir solution (1 M NaAc pH 3.0, 9-10 % NaCl, 6 % PEG 6000) were mixed. For the measurements, the crystals were equilibrated in 1 M NaAc pH 3.4, 10 % NaCl, VAPOR DIFFUSION, temperature 293K"
"4ETB","grown in Linbro plates in hanging or sitting drop geometry. Drops of equal volume of protein (20 mg/ml) and reservoir solution (1 M NaAc pH 3.0, 9-10 % NaCl, 6 % PEG 6000) were mixed. For the measurements, the crystals were equilibrated in 1 M NaAc pH 3.4, 10 % NaCl, VAPOR DIFFUSION, temperature 293K"
"4ETC","grown in Linbro plates in hanging or sitting drop geometry. Drops of equal volume of protein (20 mg/ml) and reservoir solution (1 M NaAc pH 3.0, 9-10 % NaCl, 6 % PEG 6000) were mixed. For the measurements, the crystals were equilibrated in 1 M NaAc pH 3.4, 10 % NaCl, VAPOR DIFFUSION, temperature 293K"
"4ETD","grown in Linbro plates in hanging or sitting drop geometry. Drops of equal volume of protein (20 mg/ml) and reservoir solution (1 M NaAc pH 3.0, 9-10 % NaCl, 6 % PEG 6000) were mixed. For the measurements, the crystals were equilibrated in 1 M NaAc pH 3.4, 10 % NaCl, VAPOR DIFFUSION, temperature 293K"
"4ETE","grown in Linbro plates in hanging or sitting drop geometry. Drops of equal volume of protein (20 mg/ml) and reservoir solution (1 M NaAc pH 3.0, 9-10 % NaCl, 6 % PEG 6000) were mixed. For the measurements, the crystals were equilibrated in 1 M NaAc pH 3.4, 10 % NaCl, VAPOR DIFFUSION, temperature 293K"
"4FJR","7% NaCl in 100mM Na-Acetate, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 293K"
"4G49","HEWL co-crystallized with cisplatin in 1 mL 10% sodium chloride + 1 ml 0.04 M sodium acetate, pH 4.7, BATCH, temperature 295K"
"4G4B","HEWL co-crystallized with cisplatin and NAG in 7.5% DMSO media in 1 mL 10% sodium chloride + 1 ml 0.04 M sodium acetate, pH 4.7, BATCH, temperature 295K"
"4G4C","HEWL co-crystallized with carboplatin (with DMSO added) in 1 mL 10% sodium chloride + 1 ml 0.04 M sodium acetate, pH 4.7, BATCH, temperature 295K"
"4G4H","49 mg HEWL co-crystallized with 3.7 mg carboplatin in 462.5 uL 0.04 M sodium acetate + 462.5 uL 10% sodium chloride + 75 uL DMSO, pH 4.7, BATCH, temperature 295K"
"4GCB","49 mg HEWL (3.2 mM), 3 mg cisplatin (10 mM), 3.7 mg carboplatin (10 mM) in 0.04 M sodium acetate buffer (462.5 uL) + 10% sodium chloride precipitant (462.5 uL) + 1 mM DMSO (75 uL), pH 4.7, BATCH, temperature 277K"
"4GCC","49 mg HEWL (3.2 mM), 3 mg cisplatin (10 mM), 3.7 mg carboplatin (10 mM) in 0.04 M sodium acetate buffer (462.5 uL) + 10% sodium chloride precipitant (462.5 uL) + 1 mM DMSO (75 uL), pH 4.7, BATCH, temperature 277K"
"4GCD","49 mg HEWL (3.2 mM), 3 mg cisplatin (10 mM), 3.7 mg carboplatin (10 mM) in 0.04 M sodium acetate buffer (462.5 uL) + 10% sodium chloride precipitant (462.5 uL) + 1 mM DMSO (75 uL), pH 4.7, BATCH, temperature 277K"
"4GCE","49 mg HEWL (3.2 mM), 3 mg cisplatin (10 mM), 3.7 mg carboplatin (10 mM) in 0.04 M sodium acetate buffer (462.5 uL) + 10% sodium chloride precipitant (462.5 uL) + 1 mM DMSO (75 uL), pH 4.7, BATCH, temperature 277K"
"4GCF","49 mg HEWL (3.2 mM), 3 mg cisplatin (10 mM), 3.7 mg carboplatin (10 mM) in 0.04 M sodium acetate buffer (462.5 uL) + 10% sodium chloride precipitant (462.5 uL) + 1 mM DMSO (75 uL), pH 4.7, BATCH, temperature 277K"
"4GLA","0.2 M HEPES, 7% MPEG5000, pH 7.3, VAPOR DIFFUSION, SITTING DROP, temperature 291K"
"4GLV","0.2 M HEPES, 7% MPEG5000, pH 7.3, VAPOR DIFFUSION, SITTING DROP, temperature 291K"
"4GN3","0.2 M HEPES, 9% MPEG5000, pH 7.4, VAPOR DIFFUSION, SITTING DROP, temperature 291K"
"4GN4","0.2 M HEPES, 13% MPEG5000, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 291K"
"4GN5","0.2 M HEPES, 5% MPEG5000, pH 7.4, VAPOR DIFFUSION, SITTING DROP, temperature 291K"
"4H1P","Sodium chloride, EuCl3, sodium acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K, temperature 293.0K"
"4H8X","7.5% sodium chloride, 100 mM sodium acetate buffer and 25% ethylene glycol, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4H8Y","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H8Z","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, VAPOR DIFFUSION, HANGING DROP, temperature 298K"
"4H90","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H91","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H92","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H93","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H94","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H9A","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H9B","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
"4H9C","7.5% sodium chloride, 100 mM sodium acetate pH 4.8, 25% ethylene glycol, vapor diffusion, hanging drop, temperature 298K"
